# port,duration,pkt_size,rate,mbps,mpps,loss
2,60,512,26.0000,6105.6150,1.5024,0.0334
3,60,512,26.0000,6104.2365,1.5020,0.0593
0,60,512,27.0000,6328.9200,1.5573,2.1712
1,60,512,27.0000,6399.8366,1.5748,1.0827
2,60,512,27.0000,6452.8085,1.5878,0.0280
3,60,512,27.0000,6451.1424,1.5874,0.0691
0,60,512,28.0000,6218.6438,1.5302,7.2849
1,60,512,28.0000,6084.3084,1.4971,9.2909
2,60,512,28.0000,6695.3608,1.6475,0.0195
3,60,512,28.0000,6695.3626,1.6475,0.0462
0,60,512,29.0000,6003.3940,1.4772,12.1383
1,60,512,29.0000,5982.9795,1.4722,12.4373
2,60,512,29.0000,6816.9387,1.6774,0.0219
3,60,512,29.0000,6816.7737,1.6774,0.0447
0,60,512,30.0000,6275.2310,1.5441,12.6737
1,60,512,30.0000,6170.0988,1.5182,14.1392
2,60,512,30.0000,7169.0825,1.7640,0.0509
3,60,512,30.0000,7170.2356,1.7643,0.0409
0,60,512,31.0000,6274.3174,1.5439,15.5122
1,60,512,31.0000,6030.6705,1.4839,18.7971
2,60,512,31.0000,7406.2584,1.8224,0.0468
3,60,512,31.0000,7406.8666,1.8226,0.0415
0,60,512,32.0000,6237.0499,1.5347,17.2309
1,60,512,32.0000,6083.8837,1.4970,19.2666
2,60,512,32.0000,7516.0302,1.8494,0.0399
3,60,512,32.0000,7514.8324,1.8491,0.0732
0,60,512,33.0000,6216.7276,1.5297,21.3324
1,60,512,33.0000,6117.1325,1.5052,22.5957
2,60,512,33.0000,7884.5573,1.9401,0.0637
3,60,512,33.0000,7886.8088,1.9407,0.0527
0,60,512,34.0000,6230.1399,1.5330,23.5074
1,60,512,34.0000,6063.6133,1.4920,25.5542
2,60,512,34.0000,8129.5467,2.0004,0.0715
3,60,512,34.0000,8130.0722,2.0005,0.0967
0,60,512,35.0000,6079.4751,1.4959,26.2485
1,60,512,35.0000,6094.5217,1.4996,26.0665
2,60,512,35.0000,8230.8923,2.0253,0.0563
3,60,512,35.0000,8232.1496,2.0256,0.0551
0,60,512,36.0000,6266.4538,1.5419,27.2897
1,60,512,36.0000,6005.4833,1.4777,30.3216
2,60,512,36.0000,8604.5263,2.1173,0.0777
3,60,512,36.0000,8605.5597,2.1175,0.0686
0,60,512,37.0000,6360.2184,1.5650,28.2275
1,60,512,37.0000,6113.7980,1.5044,31.0134
2,60,512,37.0000,8849.3677,2.1775,0.0706
3,60,512,37.0000,8850.5685,2.1778,0.0397
0,60,512,38.0000,6118.8276,1.5056,31.6209
1,60,512,38.0000,5957.8418,1.4660,33.4239
2,60,512,38.0000,8931.7479,2.1978,0.0800
3,60,512,38.0000,8935.8356,2.1988,0.0396
0,60,512,39.0000,6149.0110,1.5130,34.1492
1,60,512,39.0000,5908.2622,1.4538,36.7317
2,60,512,39.0000,9321.9543,2.2938,0.1036
3,60,512,39.0000,9325.9253,2.2948,0.0772
0,60,512,40.0000,6227.5529,1.5324,34.9585
1,60,512,40.0000,5900.3382,1.4519,38.3813
2,60,512,40.0000,9564.9683,2.3536,0.1134
3,60,512,40.0000,9568.5852,2.3545,0.0759
0,60,512,41.0000,6210.8151,1.5283,35.6533
1,60,512,41.0000,6056.6299,1.4903,37.2547
2,60,512,41.0000,9651.8678,2.3750,0.0682
3,60,512,41.0000,9655.1885,2.3758,0.0421
0,60,512,42.0000,6353.3389,1.5633,36.8113
1,60,512,42.0000,5999.1705,1.4762,40.3379
2,60,512,42.0000,10041.7708,2.4709,0.1600
3,60,512,42.0000,10060.8849,2.4756,0.0577
0,60,512,43.0000,6241.1205,1.5357,39.3655
1,60,512,43.0000,6017.3252,1.4806,41.5430
2,60,512,43.0000,10297.0794,2.5337,0.0462
3,60,512,43.0000,10296.5952,2.5336,0.0543
0,60,512,44.0000,6281.3648,1.5456,40.3485
1,60,512,44.0000,6108.3805,1.5030,41.9941
2,60,512,44.0000,10522.4352,2.5892,0.1025
3,60,512,44.0000,10526.8092,2.5903,0.0609
0,60,512,45.0000,6214.9084,1.5293,42.3145
1,60,512,45.0000,6087.4565,1.4979,43.4999
2,60,512,45.0000,10776.1892,2.6516,0.0454
3,60,512,45.0000,10773.4973,2.6510,0.0697
0,60,512,46.0000,6233.3912,1.5338,42.4239
1,60,512,46.0000,6021.2343,1.4816,44.3882
2,60,512,46.0000,10835.3827,2.6662,0.0618
3,60,512,46.0000,10829.5010,2.6647,0.0679
0,60,512,47.0000,6357.3054,1.5643,43.5013
1,60,512,47.0000,6184.2679,1.5217,45.0416
2,60,512,47.0000,11260.8434,2.7709,0.0679
3,60,512,47.0000,11252.2279,2.7688,0.0864
0,60,512,48.0000,6309.4541,1.5525,45.0677
1,60,512,48.0000,5941.8931,1.4621,48.2745
