port,duration,pkt_size,rate,mbps,mpps,loss
2,60,256,25.0000,1359.0817,2.8314,0.0738
3,60,256,25.0000,1359.1355,2.8315,0.0697
0,60,256,26.0000,575.3311,1.1986,58.6861
1,60,256,26.0000,518.0740,1.0793,62.7969
2,60,256,26.0000,1388.7776,2.8933,0.0666
3,60,256,26.0000,1388.8562,2.8934,0.0590
0,60,256,27.0000,517.0133,1.0771,64.8493
1,60,256,27.0000,554.6503,1.1555,62.2904
2,60,256,27.0000,1466.0728,3.0543,0.1011
3,60,256,27.0000,1466.1222,3.0544,0.0971
0,60,256,28.0000,517.6083,1.0784,66.0507
1,60,256,28.0000,626.9642,1.3062,58.8810
2,60,256,28.0000,1519.7747,3.1662,0.0727
3,60,256,28.0000,1519.7819,3.1662,0.0681
0,60,256,29.0000,484.1172,1.0086,68.8131
1,60,256,29.0000,589.8977,1.2290,62.0040
2,60,256,29.0000,1547.0799,3.2231,0.0967
3,60,256,29.0000,1546.7909,3.2225,0.1045
0,60,256,30.0000,679.3906,1.4154,58.4208
1,60,256,30.0000,549.0795,1.1439,66.3928
2,60,256,30.0000,1629.3428,3.3945,0.1120
3,60,256,30.0000,1629.1327,3.3940,0.1123
0,60,512,1.0000,28.3295,0.0590,0.0000
1,60,512,1.0000,28.3295,0.0590,0.0000
2,60,512,1.0000,28.3298,0.0590,0.0000
3,60,512,1.0000,28.3298,0.0590,0.0000
0,60,512,2.0000,55.7128,0.1161,0.0000
1,60,512,2.0000,55.7128,0.1161,0.0000
2,60,512,2.0000,55.7133,0.1161,0.0000
3,60,512,2.0000,55.7133,0.1161,0.0000
0,60,512,3.0000,84.9833,0.1770,0.0000
1,60,512,3.0000,84.9833,0.1770,0.0000
2,60,512,3.0000,84.9842,0.1770,0.0000
3,60,512,3.0000,84.9837,0.1770,0.0000
0,60,512,4.0000,113.3102,0.2361,0.0000
1,60,512,4.0000,113.3107,0.2361,0.0000
2,60,512,4.0000,113.3111,0.2361,0.0000
3,60,512,4.0000,113.3106,0.2361,0.0000
0,60,512,5.0000,141.6336,0.2951,0.0000
1,60,512,5.0000,141.6336,0.2951,0.0000
2,60,512,5.0000,141.6339,0.2951,0.0000
3,60,512,5.0000,141.6339,0.2951,0.0000
0,60,512,6.0000,169.9615,0.3541,0.0000
1,60,512,6.0000,169.9610,0.3541,0.0000
2,60,512,6.0000,169.9624,0.3541,0.0000
3,60,512,6.0000,169.9624,0.3541,0.0000
0,60,512,7.0000,194.9722,0.4062,0.0000
1,60,512,7.0000,194.9717,0.4062,0.0000
2,60,512,7.0000,194.9720,0.4062,0.0000
3,60,512,7.0000,194.9720,0.4062,0.0000
0,60,512,8.0000,226.5969,0.4721,0.0000
1,60,512,8.0000,226.5979,0.4721,0.0000
2,60,512,8.0000,226.5984,0.4721,0.0000
3,60,512,8.0000,226.5943,0.4721,0.0000
0,60,512,9.0000,254.9119,0.5311,0.0006
1,60,512,9.0000,254.9105,0.5311,0.0010
2,60,512,9.0000,254.9129,0.5311,0.0000
3,60,512,9.0000,254.9103,0.5311,0.0000
0,60,512,10.0000,278.5187,0.5802,0.0002
1,60,512,10.0000,278.5189,0.5802,0.0001
2,60,512,10.0000,278.5191,0.5802,0.0000
3,60,512,10.0000,278.5191,0.5802,0.0000
0,60,512,11.0000,311.5518,0.6491,0.0083
1,60,512,11.0000,311.5521,0.6491,0.0084
2,60,512,11.0000,311.5908,0.6491,0.0000
3,60,512,11.0000,311.5872,0.6491,0.0000
0,60,512,12.0000,339.8521,0.7080,0.0135
1,60,512,12.0000,339.8588,0.7080,0.0119
2,60,512,12.0000,339.9157,0.7082,0.0000
3,60,512,12.0000,339.9147,0.7082,0.0000
0,60,512,13.0000,361.9478,0.7541,0.0285
1,60,512,13.0000,361.9568,0.7541,0.0260
2,60,512,13.0000,362.0509,0.7543,0.0000
3,60,512,13.0000,362.0504,0.7543,0.0000
0,60,512,14.0000,396.2534,0.8255,0.0675
1,60,512,14.0000,396.2686,0.8256,0.0638
2,60,512,14.0000,396.5574,0.8262,0.0000
3,60,512,14.0000,396.5579,0.8262,0.0000
0,60,512,15.0000,424.5839,0.8845,0.0433
1,60,512,15.0000,424.6047,0.8846,0.0405
2,60,512,15.0000,424.8677,0.8851,0.0000
3,60,512,15.0000,424.8662,0.8851,0.0000
0,60,512,16.0000,442.7118,0.9223,0.6506
1,60,512,16.0000,442.7306,0.9224,0.6467
2,60,512,16.0000,445.6365,0.9284,0.0000
3,60,512,16.0000,445.6349,0.9284,0.0000
0,60,512,17.0000,480.9342,1.0019,0.1027
1,60,512,17.0000,480.9894,1.0021,0.0916
2,60,512,17.0000,481.4724,1.0031,0.0000
3,60,512,17.0000,481.4703,1.0031,0.0000
0,60,512,18.0000,505.3815,1.0529,0.8411
1,60,512,18.0000,505.8927,1.0539,0.7411
2,60,512,18.0000,509.7630,1.0620,0.0000
3,60,512,18.0000,509.7563,1.0620,0.0000
0,60,512,19.0000,524.2786,1.0922,0.9014
1,60,512,19.0000,524.7151,1.0932,0.8202
2,60,512,19.0000,529.2097,1.1025,0.0000
3,60,512,19.0000,529.2097,1.1025,0.0000
0,60,512,20.0000,562.6295,1.1721,0.6076
1,60,512,20.0000,562.8333,1.1726,0.5717
2,60,512,20.0000,566.2495,1.1797,0.0000
3,60,512,20.0000,566.2505,1.1797,0.0000
0,60,512,21.0000,581.1372,1.2107,2.2404
1,60,512,21.0000,582.3160,1.2132,2.0421
2,60,512,21.0000,594.5952,1.2387,0.0000
3,60,512,21.0000,594.5839,1.2387,0.0000
0,60,512,22.0000,607.0280,1.2646,0.8572
1,60,512,22.0000,607.4457,1.2655,0.7890
2,60,512,22.0000,612.3406,1.2757,0.0000
3,60,512,22.0000,612.3273,1.2757,0.0000
0,60,512,23.0000,627.7488,1.3078,3.5456
1,60,512,23.0000,631.6743,1.3160,2.9433
2,60,512,23.0000,650.6892,1.3556,0.0018
3,60,512,23.0000,650.6889,1.3556,0.0000
0,60,512,24.0000,600.6938,1.2514,11.5498
1,60,512,24.0000,549.1907,1.1441,19.1365
2,60,512,24.0000,678.8426,1.4143,0.0008
3,60,512,24.0000,678.8438,1.4143,0.0000
0,60,512,25.0000,467.1260,0.9732,32.8885
1,60,512,25.0000,342.0456,0.7126,50.8587
2,60,512,25.0000,695.6103,1.4492,0.0053
3,60,512,25.0000,695.6297,1.4492,0.0040
0,60,512,26.0000,318.8036,0.6642,56.6978
1,60,512,26.0000,419.9830,0.8750,42.9550
2,60,512,26.0000,735.8836,1.5331,0.0015
3,60,512,26.0000,735.8863,1.5331,0.0006
0,60,512,27.0000,364.4475,0.7593,52.3298
1,60,512,27.0000,413.6431,0.8618,45.8943
2,60,512,27.0000,764.5668,1.5928,0.0064
3,60,512,27.0000,764.6065,1.5929,0.0009
0,60,512,28.0000,323.3314,0.6736,58.5172
1,60,512,28.0000,441.4217,0.9196,43.3672
2,60,512,28.0000,779.5025,1.6240,0.0093
3,60,512,28.0000,779.5496,1.6241,0.0031
0,60,512,29.0000,414.1366,0.8628,49.5690
1,60,512,29.0000,371.8700,0.7747,54.7163
2,60,512,29.0000,821.1156,1.7107,0.0154
3,60,512,29.0000,821.1249,1.7107,0.0142
0,60,512,30.0000,458.2068,0.9546,46.0389
1,60,512,30.0000,370.8858,0.7727,56.3223
2,60,512,30.0000,849.1971,1.7692,0.0278
3,60,512,30.0000,849.2671,1.7693,0.0207
0,60,512,31.0000,434.2548,0.9047,49.6647
1,60,512,31.0000,389.2528,0.8109,54.8810
