port,duration,pkt_size,rate,mbps,mpps,loss
0,60,256,24.0000,4284.9021,2.1254,21.8499
1,60,256,24.0000,4462.7122,2.2136,18.5912
2,60,256,24.0000,5433.0160,2.6949,0.0211
3,60,256,24.0000,5472.8072,2.7147,0.0555
0,60,256,25.0000,4777.0814,2.3696,16.3169
1,60,256,25.0000,4869.2604,2.4153,14.6903
2,60,256,25.0000,5665.8646,2.8104,0.0566
3,60,256,25.0000,5677.4128,2.8162,0.0501
0,60,256,26.0000,4578.0382,2.2709,21.5458
1,60,256,26.0000,4706.4838,2.3346,19.3280
2,60,256,26.0000,5795.2132,2.8746,0.0544
3,60,256,26.0000,5800.6637,2.8773,0.0522
0,60,256,27.0000,4635.8302,2.2995,24.7762
1,60,256,27.0000,4879.6125,2.4204,20.8038
2,60,256,27.0000,6121.0431,3.0362,0.1344
3,60,256,27.0000,6146.7597,3.0490,0.0587
0,60,256,28.0000,4681.8810,2.3224,26.7088
1,60,256,28.0000,4854.4012,2.4079,23.9945
2,60,256,28.0000,6358.7310,3.1541,0.0678
3,60,256,28.0000,6380.0285,3.1647,0.0765
0,60,256,29.0000,4695.7118,2.3292,27.7908
1,60,256,29.0000,4950.6617,2.4557,23.8424
2,60,256,29.0000,6493.3052,3.2209,0.0999
3,60,256,29.0000,6502.5552,3.2255,0.0563
0,60,256,30.0000,4578.2862,2.2710,33.1183
1,60,256,30.0000,4810.6018,2.3862,29.7058
2,60,256,30.0000,6852.9380,3.3993,0.0816
3,60,256,30.0000,6845.4621,3.3956,0.0621
0,60,256,31.0000,4657.5578,2.3103,34.1329
1,60,256,31.0000,4931.7166,2.4463,30.2264
2,60,256,31.0000,7094.5677,3.5191,0.0457
3,60,256,31.0000,7036.8950,3.4905,0.6727
0,60,256,32.0000,4626.8673,2.2951,35.4382
1,60,256,32.0000,4763.5537,2.3629,33.5647
2,60,256,32.0000,7192.3459,3.5676,0.0922
3,60,256,32.0000,7173.9638,3.5585,0.0685
0,60,256,33.0000,4768.9443,2.3655,36.5653
1,60,256,33.0000,5024.2511,2.4922,33.1885
2,60,256,33.0000,7363.3484,3.6525,2.4225
3,60,256,33.0000,7414.3975,3.6778,1.4614
0,60,512,1.0000,239.8694,0.0590,0.0000
1,60,512,1.0000,239.8694,0.0590,0.0000
2,60,512,1.0000,239.8697,0.0590,0.0000
3,60,512,1.0000,239.8653,0.0590,0.0000
0,60,512,2.0000,471.7277,0.1161,0.0000
1,60,512,2.0000,471.7234,0.1161,0.0000
2,60,512,2.0000,471.7237,0.1161,0.0000
3,60,512,2.0000,471.7193,0.1161,0.0000
0,60,512,3.0000,719.5644,0.1771,0.0000
1,60,512,3.0000,719.5644,0.1771,0.0000
2,60,512,3.0000,719.5690,0.1771,0.0000
3,60,512,3.0000,719.5647,0.1771,0.0000
0,60,512,4.0000,959.4120,0.2361,0.0000
1,60,512,4.0000,959.4120,0.2361,0.0000
2,60,512,4.0000,959.4166,0.2361,0.0000
3,60,512,4.0000,959.4122,0.2361,0.0000
0,60,512,5.0000,1179.2117,0.2902,0.0006
1,60,512,5.0000,1179.2191,0.2902,0.0000
2,60,512,5.0000,1178.9767,0.2901,0.0205
3,60,512,5.0000,1179.2194,0.2902,0.0000
0,60,512,6.0000,1439.0435,0.3541,0.0044
1,60,512,6.0000,1439.1114,0.3541,0.0000
2,60,512,6.0000,1439.0943,0.3541,0.0012
3,60,512,6.0000,1439.1118,0.3541,0.0000
0,60,512,7.0000,1678.8458,0.4131,0.0008
1,60,512,7.0000,1678.8592,0.4131,0.0000
2,60,512,7.0000,1678.8594,0.4131,0.0000
3,60,512,7.0000,1678.8384,0.4131,0.0012
0,60,512,8.0000,1886.6020,0.4642,0.0014
1,60,512,8.0000,1886.4764,0.4642,0.0085
2,60,512,8.0000,1886.6107,0.4642,0.0016
3,60,512,8.0000,1886.6136,0.4642,0.0014
0,60,512,9.0000,2158.3460,0.5311,0.0016
1,60,512,9.0000,2158.2418,0.5311,0.0068
